UF = 11 - Rondônia
Coluna;;CNAE 2.0 Div;Tamanho Estabelecimento
Ano;Escolaridade após 2005;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;Até 5ª Incompleto;198;116;63;200;220;295;312;172;774;2350;198;116;63;200;220;295;312;172;774;2350
;Doutorado;5;0;6;10;16;15;91;179;208;530;5;0;6;10;16;15;91;179;208;530
;Fundamental Completo;1581;765;669;1181;960;1675;2454;1671;2095;13051;1581;765;669;1181;960;1675;2454;1671;2095;13051
;Mestrado;27;47;60;102;129;192;685;723;1350;3315;27;47;60;102;129;192;685;723;1350;3315
;Médio Completo;29384;13928;13067;21672;18339;30905;31534;28597;64840;252266;29384;13928;13067;21672;18339;30905;31534;28597;64840;252266
;Médio Incompleto;1033;571;485;910;653;1209;1369;1265;1341;8836;1033;571;485;910;653;1209;1369;1265;1341;8836
;Superior Completo;3363;2802;2771;5502;7021;18241;11792;11298;28346;91136;3363;2802;2771;5502;7021;18241;11792;11298;28346;91136
;Superior Incompleto;1570;846;975;1577;1408;2373;1533;1732;3301;15315;1570;846;975;1577;1408;2373;1533;1732;3301;15315
UF = 24 - Rio Grande do Norte
Coluna;;CNAE 2.0 Div;Tamanho Estabelecimento
Ano;Escolaridade após 2005;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total
2015;Total;2239;1299;1110;1538;1264;1385;2936;4212;0;15983;2239;1299;1110;1538;1264;1385;2936;4212;0;15983
;5ª Completo Fundamental;13;6;24;8;7;8;19;26;0;111;13;6;24;8;7;8;19;26;0;111
;6ª a 9ª Fundamental;34;17;15;21;21;33;48;94;0;283;34;17;15;21;21;33;48;94;0;283
;Analfabeto;2;0;3;5;2;3;3;3;0;21;2;0;3;5;2;3;3;3;0;21
;Até 5ª Incompleto;12;6;6;10;2;12;22;13;0;83;12;6;6;10;2;12;22;13;0;83
;Fundamental Completo;74;40;42;52;55;40;103;110;0;516;74;40;42;52;55;40;103;110;0;516
;Mestrado;0;0;0;16;7;0;13;6;0;42;0;0;0;16;7;0;13;6;0;42
;Médio Completo;1823;969;798;1022;862;943;2034;3008;0;11459;1823;969;798;1022;862;943;2034;3008;0;11459
;Médio Incompleto;67;48;33;38;36;51;100;192;0;565;67;48;33;38;36;51;100;192;0;565
;Superior Completo;134;159;164;307;229;250;490;592;0;2325;134;159;164;307;229;250;490;592;0;2325
;Superior Incompleto;80;54;25;59;43;45;104;168;0;578;80;54;25;59;43;45;104;168;0;578
2016;Total;2335;1367;1055;1634;1386;1625;3807;3692;0;16901;2335;1367;1055;1634;1386;1625;3807;3692;0;16901
;5ª Completo Fundamental;15;8;20;7;10;9;23;18;0;110;15;8;20;7;10;9;23;18;0;110
;6ª a 9ª Fundamental;27;19;13;24;28;47;66;79;0;303;27;19;13;24;28;47;66;79;0;303
;Analfabeto;2;1;2;4;0;3;4;1;0;17;2;1;2;4;0;3;4;1;0;17
;Até 5ª Incompleto;12;7;4;11;4;16;16;7;0;77;12;7;4;11;4;16;16;7;0;77
;Doutorado;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1
;Fundamental Completo;73;41;25;54;51;40;138;87;0;509;73;41;25;54;51;40;138;87;0;509
;Mestrado;0;0;0;4;2;1;14;2;0;23;0;0;0;4;2;1;14;2;0;23
;Médio Completo;1908;1004;759;1049;903;1123;2612;2714;0;12072;1908;1004;759;1049;903;1123;2612;2714;0;12072
;Médio Incompleto;71;67;27;38;40;65;178;115;0;601;71;67;27;38;40;65;178;115;0;601
;Superior Completo;139;171;167;374;282;276;635;532;0;2576;139;171;167;374;282;276;635;532;0;2576
;Superior Incompleto;88;49;38;69;66;45;121;136;0;612;88;49;38;69;66;45;121;136;0;612
2017;Total;2477;1337;1103;1650;1219;1402;4154;3873;0;17215;2477;1337;1103;1650;1219;1402;4154;3873;0;17215
;5ª Completo Fundamental;15;12;14;6;6;5;19;19;0;96;15;12;14;6;6;5;19;19;0;96
;6ª a 9ª Fundamental;22;17;13;21;17;46;70;84;0;290;22;17;13;21;17;46;70;84;0;290
;Analfabeto;1;1;1;3;0;2;2;1;0;11;1;1;1;3;0;2;2;1;0;11
;Até 5ª Incompleto;13;5;3;7;5;18;14;8;0;73;13;5;3;7;5;18;14;8;0;73
;Doutorado;0;1;0;1;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;2
;Fundamental Completo;72;41;30;34;36;32;132;87;0;464;72;41;30;34;36;32;132;87;0;464
;Mestrado;3;1;5;12;2;1;16;8;0;48;3;1;5;12;2;1;16;8;0;48
;Médio Completo;1997;980;764;1015;831;982;2965;2803;0;12337;1997;980;764;1015;831;982;2965;2803;0;12337
;Médio Incompleto;77;53;40;32;28;49;144;117;0;540;77;53;40;32;28;49;144;117;0;540
;Superior Completo;197;169;192;450;237;216;678;586;0;2725;197;169;192;450;237;216;678;586;0;2725
;Superior Incompleto;80;57;41;69;57;51;114;160;0;629;80;57;41;69;57;51;114;160;0;629
2018;Total;2542;1391;1201;1605;1066;1563;3007;5927;0;18302;2542;1391;1201;1605;1066;1563;3007;5927;0;18302
;5ª Completo Fundamental;14;12;11;5;6;5;13;20;0;86;14;12;11;5;6;5;13;20;0;86
;6ª a 9ª Fundamental;25;14;18;24;17;34;37;104;0;273;25;14;18;24;17;34;37;104;0;273
;Analfabeto;2;2;4;4;0;1;5;1;0;19;2;2;4;4;0;1;5;1;0;19
;Até 5ª Incompleto;11;7;5;6;3;15;9;18;0;74;11;7;5;6;3;15;9;18;0;74
;Doutorado;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1
;Fundamental Completo;63;36;34;30;35;34;95;141;0;468;63;36;34;30;35;34;95;141;0;468
;Mestrado;4;0;5;15;3;3;16;13;0;59;4;0;5;15;3;3;16;13;0;59
;Médio Completo;2019;992;813;1017;713;1082;2137;4328;0;13101;2019;992;813;1017;713;1082;2137;4328;0;13101
;Médio Incompleto;68;49;39;40;25;56;80;178;0;535;68;49;39;40;25;56;80;178;0;535
;Superior Completo;247;215;225;390;222;263;539;946;0;3047;247;215;225;390;222;263;539;946;0;3047
;Superior Incompleto;89;63;47;74;42;70;76;178;0;639;89;63;47;74;42;70;76;178;0;639
2019;Total;2702;1459;1373;1746;1192;1526;2998;5140;1051;19187;2702;1459;1373;1746;1192;1526;2998;5140;1051;19187
;5ª Completo Fundamental;10;9;9;3;6;5;11;12;6;71;10;9;9;3;6;5;11;12;6;71
;6ª a 9ª Fundamental;17;16;16;29;17;20;48;85;15;263;17;16;16;29;17;20;48;85;15;263
;Analfabeto;4;2;3;6;2;2;4;2;1;26;4;2;3;6;2;2;4;2;1;26
;Até 5ª Incompleto;9;11;4;10;7;15;7;15;1;79;9;11;4;10;7;15;7;15;1;79
;Doutorado;0;0;0;1;0;1;1;0;0;3;0;0;0;1;0;1;1;0;0;3
;Fundamental Completo;64;48;26;28;28;34;82;116;18;444;64;48;26;28;28;34;82;116;18;444
;Mestrado;3;3;1;11;1;6;25;7;0;57;3;3;1;11;1;6;25;7;0;57
;Médio Completo;2137;999;985;1088;807;1053;2031;3702;785;13587;2137;999;985;1088;807;1053;2031;3702;785;13587
;Médio Incompleto;75;51;51;63;23;51;98;127;48;587;75;51;51;63;23;51;98;127;48;587
;Superior Completo;286;256;221;428;262;269;616;895;170;3403;286;256;221;428;262;269;616;895;170;3403
;Superior Incompleto;97;64;57;79;39;70;75;179;7;667;97;64;57;79;39;70;75;179;7;667
2020;Total;2709;1469;1383;1729;1105;1686;2670;6444;1081;20276;2709;1469;1383;1729;1105;1686;2670;6444;1081;20276
;5ª Completo Fundamental;7;14;9;3;6;6;8;11;7;71;7;14;9;3;6;6;8;11;7;71
;6ª a 9ª Fundamental;18;12;8;26;11;22;44;131;14;286;18;12;8;26;11;22;44;131;14;286
;Analfabeto;4;3;1;6;0;2;3;4;1;24;4;3;1;6;0;2;3;4;1;24
;Até 5ª Incompleto;12;6;2;7;1;15;9;20;1;73;12;6;2;7;1;15;9;20;1;73
;Doutorado;0;1;0;0;0;2;2;0;0;5;0;1;0;0;0;2;2;0;0;5
;Fundamental Completo;53;33;20;35;33;27;70;248;19;538;53;33;20;35;33;27;70;248;19;538
;Mestrado;3;3;3;11;0;14;20;8;0;62;3;3;3;11;0;14;20;8;0;62
;Médio Completo;2126;1057;974;1075;791;1130;1749;4504;803;14209;2126;1057;974;1075;791;1130;1749;4504;803;14209
;Médio Incompleto;67;33;33;52;19;57;93;121;52;527;67;33;33;52;19;57;93;121;52;527
;Superior Completo;293;249;276;443;217;354;608;1239;179;3858;293;249;276;443;217;354;608;1239;179;3858
;Superior Incompleto;126;58;57;71;27;57;64;158;5;623;126;58;57;71;27;57;64;158;5;623
2021;Total;2951;1770;1679;2059;1238;2019;2805;5530;2342;22393;2951;1770;1679;2059;1238;2019;2805;5530;2342;22393
;5ª Completo Fundamental;9;15;11;5;3;6;7;7;11;74;9;15;11;5;3;6;7;7;11;74
;6ª a 9ª Fundamental;20;4;16;22;3;14;44;106;29;258;20;4;16;22;3;14;44;106;29;258
;Analfabeto;3;5;2;5;1;0;0;3;1;20;3;5;2;5;1;0;0;3;1;20
;Até 5ª Incompleto;11;5;14;7;0;10;7;15;4;73;11;5;14;7;0;10;7;15;4;73
;Doutorado;0;1;0;1;0;2;1;0;0;5;0;1;0;1;0;2;1;0;0;5
;Fundamental Completo;59;42;22;38;26;29;66;212;40;534;59;42;22;38;26;29;66;212;40;534
;Mestrado;4;6;5;6;3;16;15;8;3;66;4;6;5;6;3;16;15;8;3;66
;Médio Completo;2313;1271;1165;1276;912;1388;1901;3934;1655;15815;2313;1271;1165;1276;912;1388;1901;3934;1655;15815
;Médio Incompleto;79;46;40;80;21;58;95;99;89;607;79;46;40;80;21;58;95;99;89;607
;Superior Completo;323;295;328;531;232;438;608;1051;449;4255;323;295;328;531;232;438;608;1051;449;4255
;Superior Incompleto;130;80;76;88;37;58;61;95;61;686;130;80;76;88;37;58;61;95;61;686
Total;Total;17955;10092;8904;11961;8470;11206;22377;34818;4474;130257;17955;10092;8904;11961;8470;11206;22377;34818;4474;130257
;5ª Completo Fundamental;83;76;98;37;44;44;100;113;24;619;83;76;98;37;44;44;100;113;24;619
;6ª a 9ª Fundamental;163;99;99;167;114;216;357;683;58;1956;163;99;99;167;114;216;357;683;58;1956
;Analfabeto;18;14;16;33;5;13;21;15;3;138;18;14;16;33;5;13;21;15;3;138
;Até 5ª Incompleto;80;47;38;58;22;101;84;96;6;532;80;47;38;58;22;101;84;96;6;532
;Doutorado;0;4;0;3;0;5;4;1;0;17;0;4;0;3;0;5;4;1;0;17
;Fundamental Completo;458;281;199;271;264;236;686;1001;77;3473;458;281;199;271;264;236;686;1001;77;3473
;Mestrado;17;13;19;75;18;41;119;52;3;357;17;13;19;75;18;41;119;52;3;357
;Médio Completo;14323;7272;6258;7542;5819;7701;15429;24993;3243;92580;14323;7272;6258;7542;5819;7701;15429;24993;3243;92580
;Médio Incompleto;504;347;263;343;192;387;788;949;189;3962;504;347;263;343;192;387;788;949;189;3962
;Superior Completo;1619;1514;1573;2923;1681;2066;4174;5841;798;22189;1619;1514;1573;2923;1681;2066;4174;5841;798;22189
;Superior Incompleto;690;425;341;509;311;396;615;1074;73;4434;690;425;341;509;311;396;615;1074;73;4434
UF = 25 - Paraíba
Coluna;;CNAE 2.0 Div;Tamanho Estabelecimento
Ano;Escolaridade após 2005;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total
2015;Total;2551;1179;1267;1715;808;2405;2888;1326;2862;17001;2551;1179;1267;1715;808;2405;2888;1326;2862;17001
;5ª Completo Fundamental;17;14;12;15;13;29;73;17;2;192;17;14;12;15;13;29;73;17;2;192
;6ª a 9ª Fundamental;45;28;30;38;18;101;106;60;33;459;45;28;30;38;18;101;106;60;33;459
;Analfabeto;6;0;3;2;0;2;2;2;1;18;6;0;3;2;0;2;2;2;1;18
;Até 5ª Incompleto;13;9;31;29;6;29;31;24;5;177;13;9;31;29;6;29;31;24;5;177
;Doutorado;3;1;0;0;0;2;2;0;1;9;3;1;0;0;0;2;2;0;1;9
;Fundamental Completo;94;49;62;64;28;149;190;67;43;746;94;49;62;64;28;149;190;67;43;746
;Mestrado;0;0;0;1;1;0;7;1;5;15;0;0;0;1;1;0;7;1;5;15
;Médio Completo;1998;802;829;1145;548;1448;1655;543;1514;10482;1998;802;829;1145;548;1448;1655;543;1514;10482
;Médio Incompleto;106;67;45;38;30;98;178;49;63;674;106;67;45;38;30;98;178;49;63;674
;Superior Completo;180;171;222;311;119;466;527;511;1051;3558;180;171;222;311;119;466;527;511;1051;3558
;Superior Incompleto;89;38;33;72;45;81;117;52;144;671;89;38;33;72;45;81;117;52;144;671
2016;Total;2710;1219;1343;1755;1134;1769;3842;1307;2885;17964;2710;1219;1343;1755;1134;1769;3842;1307;2885;17964
;5ª Completo Fundamental;20;13;8;13;17;23;74;17;2;187;20;13;8;13;17;23;74;17;2;187
;6ª a 9ª Fundamental;40;25;41;32;22;66;99;63;28;416;40;25;41;32;22;66;99;63;28;416
;Analfabeto;7;1;3;4;0;2;2;2;1;22;7;1;3;4;0;2;2;2;1;22
;Até 5ª Incompleto;13;8;33;23;8;24;28;24;5;166;13;8;33;23;8;24;28;24;5;166
;Doutorado;0;0;2;0;0;2;2;0;3;9;0;0;2;0;0;2;2;0;3;9
;Fundamental Completo;90;43;73;67;31;121;198;67;42;732;90;43;73;67;31;121;198;67;42;732
;Mestrado;0;0;0;0;2;0;6;3;9;20;0;0;0;0;2;0;6;3;9;20
;Médio Completo;2096;856;848;1164;796;1015;2363;543;1485;11166;2096;856;848;1164;796;1015;2363;543;1485;11166
;Médio Incompleto;117;48;49;33;34;85;182;45;70;663;117;48;49;33;34;85;182;45;70;663
;Superior Completo;229;192;252;347;160;365;739;496;1102;3882;229;192;252;347;160;365;739;496;1102;3882
;Superior Incompleto;98;33;34;72;64;66;149;47;138;701;98;33;34;72;64;66;149;47;138;701
2017;Total;2785;1245;1432;1716;1207;1886;3651;1841;2905;18668;2785;1245;1432;1716;1207;1886;3651;1841;2905;18668
;5ª Completo Fundamental;22;13;17;13;18;19;72;28;1;203;22;13;17;13;18;19;72;28;1;203
;6ª a 9ª Fundamental;36;27;20;43;16;69;78;81;25;395;36;27;20;43;16;69;78;81;25;395
;Analfabeto;5;1;3;1;1;1;2;4;1;19;5;1;3;1;1;1;2;4;1;19
;Até 5ª Incompleto;14;10;17;19;9;19;40;25;6;159;14;10;17;19;9;19;40;25;6;159
;Doutorado;0;0;2;0;0;2;1;1;2;8;0;0;2;0;0;2;1;1;2;8
;Fundamental Completo;87;36;60;59;37;103;168;105;33;688;87;36;60;59;37;103;168;105;33;688
;Mestrado;2;0;1;4;2;0;10;0;17;36;2;0;1;4;2;0;10;0;17;36
;Médio Completo;2142;852;906;1151;848;1109;2262;833;1391;11494;2142;852;906;1151;848;1109;2262;833;1391;11494
;Médio Incompleto;104;53;42;45;35;84;163;62;61;649;104;53;42;45;35;84;163;62;61;649
;Superior Completo;268;214;315;315;187;397;708;648;1230;4282;268;214;315;315;187;397;708;648;1230;4282
;Superior Incompleto;105;39;49;66;54;83;147;54;138;735;105;39;49;66;54;83;147;54;138;735
2018;Total;3016;1376;1518;1732;1109;1562;4313;1869;2955;19450;3016;1376;1518;1732;1109;1562;4313;1869;2955;19450
;5ª Completo Fundamental;22;20;14;10;16;14;71;15;1;183;22;20;14;10;16;14;71;15;1;183
;6ª a 9ª Fundamental;36;22;47;30;23;57;103;65;26;409;36;22;47;30;23;57;103;65;26;409
;Analfabeto;6;1;5;2;0;1;2;3;1;21;6;1;5;2;0;1;2;3;1;21
;Até 5ª Incompleto;14;8;23;8;7;12;47;6;4;129;14;8;23;8;7;12;47;6;4;129
;Doutorado;0;0;2;0;0;2;1;0;1;6;0;0;2;0;0;2;1;0;1;6
;Fundamental Completo;74;34;68;43;32;94;213;82;35;675;74;34;68;43;32;94;213;82;35;675
;Mestrado;6;1;1;6;2;0;22;0;18;56;6;1;1;6;2;0;22;0;18;56
;Médio Completo;2303;944;884;1162;706;929;2523;1031;1388;11870;2303;944;884;1162;706;929;2523;1031;1388;11870
;Médio Incompleto;98;48;45;35;37;52;184;50;51;600;98;48;45;35;37;52;184;50;51;600
;Superior Completo;344;245;348;365;236;334;988;551;1294;4705;344;245;348;365;236;334;988;551;1294;4705
;Superior Incompleto;113;53;81;71;50;67;159;66;136;796;113;53;81;71;50;67;159;66;136;796
2019;Total;3106;1515;1422;1711;939;2204;3228;3005;2969;20099;3106;1515;1422;1711;939;2204;3228;3005;2969;20099
;5ª Completo Fundamental;21;18;11;11;8;21;56;23;0;169;21;18;11;11;8;21;56;23;0;169
;6ª a 9ª Fundamental;38;22;16;21;16;67;80;87;99;446;38;22;16;21;16;67;80;87;99;446
;Analfabeto;6;1;6;2;1;1;1;4;1;23;6;1;6;2;1;1;1;4;1;23
;Até 5ª Incompleto;20;17;13;12;9;16;25;20;7;139;20;17;13;12;9;16;25;20;7;139
;Doutorado;0;0;2;0;0;1;1;1;1;6;0;0;2;0;0;1;1;1;1;6
;Fundamental Completo;68;39;57;41;17;102;208;104;227;863;68;39;57;41;17;102;208;104;227;863
;Mestrado;5;2;3;2;4;0;6;11;9;42;5;2;3;2;4;0;6;11;9;42
;Médio Completo;2363;1012;898;1115;562;1422;1746;1796;1458;12372;2363;1012;898;1115;562;1422;1746;1796;1458;12372
;Médio Incompleto;85;49;23;39;27;54;79;93;14;463;85;49;23;39;27;54;79;93;14;463
;Superior Completo;361;306;326;392;243;434;925;742;1072;4801;361;306;326;392;243;434;925;742;1072;4801
;Superior Incompleto;139;49;67;76;52;86;101;124;81;775;139;49;67;76;52;86;101;124;81;775
2020;Total;3153;1597;1622;1605;884;2470;2970;3099;1424;18824;3153;1597;1622;1605;884;2470;2970;3099;1424;18824
;5ª Completo Fundamental;18;23;13;8;9;20;55;15;0;161;18;23;13;8;9;20;55;15;0;161
;6ª a 9ª Fundamental;39;23;22;25;15;63;76;95;7;365;39;23;22;25;15;63;76;95;7;365
;Analfabeto;5;0;7;1;1;1;2;4;1;22;5;0;7;1;1;1;2;4;1;22
;Até 5ª Incompleto;23;15;16;10;9;18;24;16;4;135;23;15;16;10;9;18;24;16;4;135
;Doutorado;1;1;1;0;1;1;0;0;1;6;1;1;1;0;1;1;0;0;1;6
;Fundamental Completo;80;44;72;41;21;99;189;78;9;633;80;44;72;41;21;99;189;78;9;633
;Mestrado;8;4;3;4;3;2;9;11;8;52;8;4;3;4;3;2;9;11;8;52
;Médio Completo;2340;1065;1008;1034;571;1549;1576;1901;785;11829;2340;1065;1008;1034;571;1549;1576;1901;785;11829
;Médio Incompleto;81;51;28;41;27;56;86;136;14;520;81;51;28;41;27;56;86;136;14;520
;Superior Completo;418;323;370;364;196;573;838;722;494;4298;418;323;370;364;196;573;838;722;494;4298
;Superior Incompleto;140;48;82;77;31;88;115;121;101;803;140;48;82;77;31;88;115;121;101;803
2021;Total;3479;1969;1648;1635;1424;2413;2473;3044;1384;19469;3479;1969;1648;1635;1424;2413;2473;3044;1384;19469
;5ª Completo Fundamental;15;20;20;6;11;17;48;16;0;153;15;20;20;6;11;17;48;16;0;153
;6ª a 9ª Fundamental;37;22;23;15;31;57;92;32;7;316;37;22;23;15;31;57;92;32;7;316
;Analfabeto;9;1;2;2;1;1;1;3;1;21;9;1;2;2;1;1;1;3;1;21
;Até 5ª Incompleto;19;11;12;9;13;17;19;15;3;118;19;11;12;9;13;17;19;15;3;118
;Doutorado;1;1;0;0;1;1;0;0;3;7;1;1;0;0;1;1;0;0;3;7
;Fundamental Completo;81;46;59;58;41;83;140;87;7;602;81;46;59;58;41;83;140;87;7;602
;Mestrado;10;7;4;7;3;2;11;9;7;60;10;7;4;7;3;2;11;9;7;60
;Médio Completo;2609;1336;1017;1042;856;1522;1318;1879;778;12357;2609;1336;1017;1042;856;1522;1318;1879;778;12357
;Médio Incompleto;76;58;27;34;48;52;135;61;11;502;76;58;27;34;48;52;135;61;11;502
;Superior Completo;501;372;404;393;360;577;607;828;480;4522;501;372;404;393;360;577;607;828;480;4522
;Superior Incompleto;121;95;80;69;59;84;102;114;87;811;121;95;80;69;59;84;102;114;87;811
Total;Total;20800;10100;10252;11869;7505;14709;23365;15491;17384;131475;20800;10100;10252;11869;7505;14709;23365;15491;17384;131475
;5ª Completo Fundamental;135;121;95;76;92;143;449;131;6;1248;135;121;95;76;92;143;449;131;6;1248
;6ª a 9ª Fundamental;271;169;199;204;141;480;634;483;225;2806;271;169;199;204;141;480;634;483;225;2806
;Analfabeto;44;5;29;14;4;9;12;22;7;146;44;5;29;14;4;9;12;22;7;146
;Até 5ª Incompleto;116;78;145;110;61;135;214;130;34;1023;116;78;145;110;61;135;214;130;34;1023
;Doutorado;5;3;9;0;2;11;7;2;12;51;5;3;9;0;2;11;7;2;12;51
;Fundamental Completo;574;291;451;373;207;751;1306;590;396;4939;574;291;451;373;207;751;1306;590;396;4939
;Mestrado;31;14;12;24;17;4;71;35;73;281;31;14;12;24;17;4;71;35;73;281
;Médio Completo;15851;6867;6390;7813;4887;8994;13443;8526;8799;81570;15851;6867;6390;7813;4887;8994;13443;8526;8799;81570
;Médio Incompleto;667;374;259;265;238;481;1007;496;284;4071;667;374;259;265;238;481;1007;496;284;4071
;Superior Completo;2301;1823;2237;2487;1501;3146;5332;4498;6723;30048;2301;1823;2237;2487;1501;3146;5332;4498;6723;30048
;Superior Incompleto;805;355;426;503;355;555;890;578;825;5292;805;355;426;503;355;555;890;578;825;5292
UF = 26 - Pernambuco
Coluna;;CNAE 2.0 Div;Tamanho Estabelecimento
Ano;Escolaridade após 2005;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total
2015;Total;5638;2782;2810;4307;4585;9225;6170;11742;22667;69926;5638;2782;2810;4307;4585;9225;6170;11742;22667;69926
;5ª Completo Fundamental;40;19;18;31;47;109;95;30;97;486;40;19;18;31;47;109;95;30;97;486
;6ª a 9ª Fundamental;79;40;40;77;72;243;121;133;326;1131;79;40;40;77;72;243;121;133;326;1131
;Analfabeto;4;1;4;3;8;3;3;0;9;35;4;1;4;3;8;3;3;0;9;35
;Até 5ª Incompleto;34;20;13;32;44;76;60;55;149;483;34;20;13;32;44;76;60;55;149;483
;Doutorado;1;0;0;6;6;5;2;2;44;66;1;0;0;6;6;5;2;2;44;66
;Fundamental Completo;255;106;100;102;134;274;181;225;789;2166;255;106;100;102;134;274;181;225;789;2166
;Mestrado;1;3;2;7;9;19;7;2;134;184;1;3;2;7;9;19;7;2;134;184
;Médio Completo;4412;2072;1968;2907;3035;5519;3899;7347;13640;44799;4412;2072;1968;2907;3035;5519;3899;7347;13640;44799
;Médio Incompleto;202;113;92;150;159;242;154;281;453;1846;202;113;92;150;159;242;154;281;453;1846
;Superior Completo;383;302;468;864;911;2496;1521;3480;6776;17201;383;302;468;864;911;2496;1521;3480;6776;17201
;Superior Incompleto;227;106;105;128;160;239;127;187;250;1529;227;106;105;128;160;239;127;187;250;1529
2016;Total;5748;3014;2919;4301;4728;10407;6839;13649;21738;73343;5748;3014;2919;4301;4728;10407;6839;13649;21738;73343
;5ª Completo Fundamental;36;18;17;24;52;156;47;48;84;482;36;18;17;24;52;156;47;48;84;482
;6ª a 9ª Fundamental;69;43;45;62;92;149;117;171;282;1030;69;43;45;62;92;149;117;171;282;1030
;Analfabeto;5;4;3;3;6;5;0;5;7;38;5;4;3;3;6;5;0;5;7;38
;Até 5ª Incompleto;31;20;14;32;48;75;50;106;143;519;31;20;14;32;48;75;50;106;143;519
;Doutorado;1;0;0;6;5;6;1;12;47;78;1;0;0;6;5;6;1;12;47;78
;Fundamental Completo;222;98;98;104;172;252;201;245;747;2139;222;98;98;104;172;252;201;245;747;2139
;Mestrado;1;4;4;9;8;10;2;28;153;219;1;4;4;9;8;10;2;28;153;219
;Médio Completo;4505;2236;2067;2856;2992;6491;4450;8130;13231;46958;4505;2236;2067;2856;2992;6491;4450;8130;13231;46958
;Médio Incompleto;175;115;81;135;163;246;172;289;373;1749;175;115;81;135;163;246;172;289;373;1749
;Superior Completo;457;354;489;931;1015;2781;1639;4418;6445;18529;457;354;489;931;1015;2781;1639;4418;6445;18529
;Superior Incompleto;246;122;101;139;175;236;160;197;226;1602;246;122;101;139;175;236;160;197;226;1602
